Rank,Name,Symbol,Market Cap,Price,Circulating Supply,Volume(24h),% 1h,% 24h,% 7d
216,Rally,RLY,"$940,950,922",$0.6208,1.515.707.623 RLY *,$97.322.501,"1,08%","3,77%","7,39%"
217,Venus BNB,vBNB,"$914,925,971",$10.85,84.327.095 vBNB *,$?,"0,09%","-0,79%","9,39%"
218,LINK,LN,"$885,672,357",$148.21,5.975.799 LN *,$2.380.166,"-0,77%","0,56%","5,55%"
219,Convex Finance,CVX,"$878,419,710",$26.84,32.730.934 CVX *,$16.032.307,"0,66%","-7,52%","34,84%"
220,WEMIX,WEMIX,"$774,135,695",$6.28,123.233.682 WEMIX *,$131.202.511,"-0,49%","-2,04%","158,94%"
221,Liquity USD,LUSD,"$698,579,896",$0.971,719.446.095 LUSD *,$83.084.567,"0,02%","-2,18%","-2,55%"
222,WhiteCoin,XWC,"$683,773,159",$0.9188,744.201.249 XWC *,$14.406.434,"-0,01%","-0,09%","-0,43%"
223,Coin98,C98,"$674,375,719",$3.65,185.000.000 C98 *,$107.330.261,"-0,94%","0,95%","-3,85%"
224,MobileCoin,MOB,"$671,848,552",$9.05,74.218.324 MOB *,$1.323.598,"-0,03%","-1,47%","17,84%"
225,Gala,GALA,"$661,796,452",$0.09485,6.977.205.436 GALA *,$271.501.890,"0,93%","-14,18%","15,77%"
226,Illuvium,ILV,"$643,907,004","$1,002.11",642.549 ILV *,$70.728.109,"0,15%","0,14%","26,23%"
227,DeFiChain,DFI,"$638,680,463",$2.13,300.511.840 DFI *,$6.935.748,"-0,04%","-3,55%","-9,45%"
228,Alitas,ALT,"$630,094,950",$10.50,60.000.000 ALT *,$3.141.460,"-0,01%","0,00%","8,62%"
229,Frax,FRAX,"$607,149,534",$1.00,606.324.683 FRAX *,$20.455.970,"-0,38%","-0,40%","0,27%"
230,LUKSO,LYXe,"$550,890,979",$36.61,15.045.916 LYXe *,$6.607.314,"-0,22%","2,70%","35,39%"
231,INO COIN,INO,"$548,187,827",$3.05,180.003.180 INO *,$3151,"0,02%","-1,06%","-4,51%"
232,JasmyCoin,JASMY,"$536,029,995",$0.1127,4.754.930.780 JASMY *,$91.821.958,"-0,15%","-4,00%","46,10%"
233,Persistence,XPRT,"$505,438,362",$8.79,57.506.385 XPRT *,$2.988.248,"-0,22%","-9,13%","10,94%"
234,Braintrust,BTRST,"$464,017,990",$5.79,80.181.852 BTRST *,$3.283.965,"2,59%","1,07%","-10,12%"
235,Yield Guild Games,YGG,"$450,151,667",$6.62,67.990.857 YGG *,$186.090.456,"2,01%","-12,24%","6,67%"
236,Rari Governance Token,RGT,"$442,512,103",$39.32,11.255.098 RGT *,$2.352.884,"0,67%","-3,01%","17,44%"
237,Bitpanda Ecosystem Token,BEST,"$416,317,209",$1.10,378.373.406 BEST *,$144.065,"0,68%","2,47%","16,25%"
238,Anchor Protocol,ANC,"$412,756,135",$3.06,135.089.720 ANC *,$14.543.199,"-0,55%","4,01%","-5,92%"
239,Pundi X[new],PUNDIX,"$409,689,681",$1.58,258.491.637 PUNDIX *,$53.828.138,"0,86%","6,96%","5,90%"
240,Tribe,TRIBE,"$404,099,455",$0.8912,453.448.622 TRIBE *,$7.266.266,"0,46%","-0,86%","-0,95%"
241,Samoyedcoin,SAMO,"$392,738,107",$0.1439,2.728.946.647 SAMO *,$73.673.689,"4,41%","-15,84%","254,13%"
242,Keep Network,KEEP,"$388,771,210",$0.6501,598.014.620 KEEP *,$50.380.267,"-0,12%","-1,12%","-7,30%"
243,Kyber Network Crystal v2,KNC,"$365,124,587",$2.05,177.809.350 KNC *,$279.524.093,"0,27%","13,99%","26,52%"
244,Bonfida,FIDA,"$355,738,876",$7.92,44.899.753 FIDA *,$2.294.007,"-0,51%","1,70%","3,18%"
245,Trust Wallet Token,TWT,"$355,169,398",$1.02,346.951.186 TWT *,$53.692.972,"-0,22%","1,28%","-2,81%"
246,SuperFarm,SUPER,"$346,631,221",$0.9698,357.410.904 SUPER *,$204.685.404,"-0,54%","10,26%","18,28%"
247,Rocket Pool,RPL,"$347,873,470",$33.84,10.279.742 RPL *,$3.988.572,"0,07%","0,17%","1,71%"
248,Pirate Chain,ARRR,"$339,585,780",$1.81,187.859.338 ARRR,$883.101,"-0,30%","0,01%","-2,58%"
249,Alchemix,ALCX,"$335,261,855",$437.74,765.901 ALCX *,$7.534.492,"0,06%","-5,70%","16,39%"
250,TrueFi,TRU,"$329,690,603",$0.6006,548.956.194 TRU *,$20.840.063,"-0,51%","-1,31%","21,17%"
251,Dvision Network,DVI,"$325,440,892",$1.56,208.096.290 DVI *,$60.710.316,"-2,78%","-14,19%","177,11%"
252,Orbit Chain,ORC,"$322,230,247",$0.58,555.525.285 ORC *,$18.329.034,"0,80%","-2,30%","-5,21%"
253,MOBOX,MBOX,"$315,541,772",$4.21,74.911.211 MBOX *,$144.086.890,"0,85%","-12,56%","2,85%"
254,Mask Network,MASK,"$311,419,616",$10.69,29.130.723 MASK *,$93.820.442,"-1,02%","1,16%","15,05%"
255,PlayDapp,PLA,"$309,579,767",$1.28,241.594.277 PLA *,$1.854.490.220,"0,08%","-11,43%","63,06%"
256,KOK,KOK,"$311,233,060",$2.90,107.333.422 KOK *,$6.393.616,"-0,41%","-1,94%","3,18%"
257,Wilder World,WILD,"$297,322,020",$4.04,73.683.300 WILD *,$31.410.941,"3,31%","-6,64%","63,72%"
258,Hoge Finance,HOGE,"$295,137,353",$0.0007314,403.521.167.959 HOGE *,$5.861.213,"-4,29%","25,96%","265,61%"
259,Electroneum,ETN,"$291,748,734",$0.01629,17.905.548.160 ETN,$820.885,"0,30%","-2,44%","-11,07%"
260,Akash Network,AKT,"$288,742,027",$2.54,113.861.304 AKT *,$2.440.874,"0,89%","-1,98%","-3,57%"
261,Mango Markets,MNGO,"$288,314,056",$0.2883,1.000.000.000 MNGO *,$2.403.510,"0,78%","-1,54%","18,99%"
262,Beyond Protocol,BP,"$277,497,358",$37.36,7.427.778 BP *,$1.860.089,"-0,40%","-3,07%","-17,95%"
263,HedgeTrade,HEDG,"$275,750,753",$0.7907,348.731.468 HEDG *,$23.086,"-0,02%","-0,19%","-5,04%"
264,Vulcan Forged PYR,PYR,"$273,500,624",$14.40,18.997.700 PYR *,$16.842.081,"1,45%","0,22%","46,86%"
265,Sapphire,SAPP,"$269,152,497",$0.5007,537.572.916 SAPP *,$723.346,"0,39%","-0,09%","5,48%"
266,Star Atlas,ATLAS,"$269,207,169",$0.1246,2.160.000.000 ATLAS *,$79.958.786,"1,26%","-12,15%","50,45%"
267,Beta Finance,BETA,"$267,778,122",$1.67,160.000.000 BETA *,$32.456.350,"-0,30%","-6,75%","-1,88%"
268,Telos,TLOS,"$268,033,767",$0.9923,270.123.444 TLOS *,$4.027.752,"-0,55%","-3,69%","-6,86%"
269,JOE,JOE,"$265,546,102",$2.40,110.485.929 JOE *,$15.071.363,"1,13%","-0,51%","-10,53%"
270,Dawn Protocol,DAWN,"$257,373,429",$3.59,71.730.914 DAWN *,$89.035.563,"0,12%","2,55%","3,94%"
271,PEAKDEFI,PEAK,"$252,176,178",$0.2439,1.033.798.144 PEAK *,$1.071.341,"-0,17%","-2,37%","-7,76%"
272,Venus BTC,vBTC,"$251,474,837","$1,221.72",205.836 vBTC *,$?,"0,02%","-1,99%","0,43%"
273,TitanSwap,TITAN,"$250,189,916",$4.68,53.404.160 TITAN *,$6.097.509,"-1,04%","-0,95%","-3,53%"
274,Mirror Protocol,MIR,"$239,475,408",$3.08,77.742.680 MIR *,$54.569.941,"-0,98%","-4,44%","3,60%"
275,Proton,XPR,"$237,235,608",$0.02826,8.394.139.717 XPR *,$22.285.515,"0,50%","-7,27%","-31,53%"
276,Orion Protocol,ORN,"$235,701,916",$7.60,30.995.000 ORN *,$14.280.169,"-0,46%","3,88%","-3,88%"
277,Alchemy Pay,ACH,"$235,236,805",$0.06945,3.387.025.441 ACH *,$133.391.482,"-13,96%","18,32%","15,44%"
278,Enzyme,MLN,"$233,093,150",$130.02,1.792.738 MLN *,$10.182.673,"-0,30%","-0,29%","-4,07%"
279,Chia Network,XCH,"$231,868,657",$146.55,1.582.223 XCH *,$30.495.787,"2,05%","10,09%","-1,61%"
280,Metal,MTL,"$227,006,945",$3.41,66.588.888 MTL *,$44.570.444,"0,76%","4,11%","4,73%"
281,Ultra,UOS,"$225,916,138",$0.7989,282.785.230 UOS *,$11.306.708,"-0,21%","7,50%","20,45%"
282,Ellipsis,EPS,"$223,750,356",$0.5032,444.632.482 EPS *,$53.136.229,"-0,02%","-0,73%","-7,39%"
283,Alien Worlds,TLM,"$220,749,935",$0.2415,914.030.370 TLM *,$479.996.901,"-1,79%","-16,35%","29,45%"
284,TomoChain,TOMO,"$218,396,863",$2.52,86.625.463 TOMO *,$22.151.043,"0,95%","0,97%","-1,20%"
285,Frax Share,FXS,"$217,302,039",$13.41,16.209.405 FXS *,$11.878.299,"-0,14%","4,31%","88,39%"
286,Zenon,ZNN,"$216,630,943",$34.72,6.238.511 ZNN,$1.287.390,"-0,04%","14,20%","89,68%"
287,FUNToken,FUN,"$212,409,877",$0.0195,10.894.873.521 FUN *,$16.678.137,"0,46%","1,52%","-4,13%"
288,MVL,MVL,"$212,202,321",$0.01601,13.258.156.587 MVL *,$17.008.450,"0,00%","3,87%","0,80%"
289,Anyswap,ANY,"$211,549,670",$11.35,18.639.320 ANY *,$17.920.723,"-0,66%","-6,45%","2,30%"
290,RSK Infrastructure Framework,RIF,"$210,971,358",$0.2684,785.993.341 RIF *,$1.485.071,"0,66%","-1,36%","0,99%"
291,Toko Token,TKO,"$210,873,596",$1.94,108.500.000 TKO *,$34.490.277,"0,72%","3,53%","-4,16%"
292,Adventure Gold,AGLD,"$209,649,688",$2.99,70.170.001 AGLD *,$58.959.320,"0,56%","-9,14%","-2,92%"
293,Dero,DERO,"$208,866,149",$19.05,10.962.697 DERO,$886.943,"0,93%","-6,32%","6,55%"
294,Bifrost (BFC),BFC,"$208,233,202",$0.2466,844.434.685 BFC *,$12.415.698,"-0,06%","-6,40%","-9,02%"
295,Polkastarter,POLS,"$206,236,005",$2.54,81.301.332 POLS *,$23.500.150,"0,57%","-5,51%","-12,17%"
296,Request,REQ,"$204,213,744",$0.2042,999.881.816 REQ *,$14.650.654,"-0,77%","1,34%","-6,91%"
297,CRYPTO20,C20,"$205,406,625",$5.14,39.963.448 C20 *,$33.831,"0,76%","-2,27%","1,05%"
298,Linear,LINA,"$204,243,491",$0.05101,4.003.665.123 LINA *,$60.042.501,"-0,86%","9,52%","0,78%"
299,Radicle,RAD,"$199,412,126",$10.26,19.436.288 RAD *,$7.437.490,"-0,89%","-2,53%","-11,79%"
300,Syscoin,SYS,"$196,637,233",$0.3164,621.527.647 SYS,$8.590.246,"-0,32%","-5,60%","-13,65%"
301,SuperRare,RARE,"$197,457,652",$1.94,101.756.228 RARE *,$51.336.670,"-0,58%","-3,69%","2,76%"
302,Phala Network,PHA,"$196,096,334",$0.7209,272.000.000 PHA *,$17.780.881,"1,38%","0,21%","-1,09%"
303,Uquid Coin,UQC,"$194,881,544",$19.49,10.000.000 UQC *,$6.588.659,"0,58%","-1,19%","-0,01%"
304,JUST,JST,"$194,558,784",$0.08608,2.260.326.706 JST *,$399.058.590,"1,50%","4,11%","7,48%"
305,DODO,DODO,"$192,649,848",$1.74,110.551.965 DODO *,$281.387.786,"-4,19%","8,17%","15,58%"
306,DerivaDAO,DDX,"$189,544,806",$7.26,26.094.664 DDX *,$2.633.361,"24,68%","24,69%","22,10%"
307,Centrifuge,CFG,"$188,995,553",$1.70,111.137.715 CFG *,$2.693.723,"3,66%","0,43%","-5,98%"
308,Chromia,CHR,"$186,859,472",$0.4347,429.822.500 CHR *,$315.456.273,"-2,10%","-3,21%","24,34%"
309,BinaryX,BNX,"$186,927,678",$92.41,2.022.898 BNX *,$23.378.929,"-0,38%","1,35%","-9,59%"
310,LGCY Network,LGCY,"$186,196,093",$0.01465,12.713.925.827 LGCY *,$829.441,"1,33%","-6,65%","57,84%"
311,KardiaChain,KAI,"$184,914,628",$0.06312,2.929.800.000 KAI *,$3.417.215,"-0,05%","-2,49%","23,88%"
312,LCX,LCX,"$183,632,069",$0.2612,703.041.116 LCX *,$3.309.741,"1,40%","26,14%","40,37%"
313,Aragon,ANT,"$183,852,744",$4.64,39.609.523 ANT *,$15.823.078,"0,77%","2,90%","1,07%"
314,KeeperDAO,ROOK,"$183,152,955",$296.54,617.636 ROOK *,$4.046.143,"-0,02%","-8,83%","11,57%"
315,Wanchain,WAN,"$182,587,856",$0.9458,193.060.728 WAN *,$7.731.290,"1,44%","0,21%","3,04%"
316,QuarkChain,QKC,"$183,037,735",$0.0286,6.399.906.497 QKC *,$17.411.937,"0,00%","-1,11%","-4,71%"
317,RedFOX Labs,RFOX,"$182,516,318",$0.1391,1.312.000.760 RFOX *,$41.979.239,"0,01%","-3,74%","133,40%"
318,MX Token,MX,"$182,740,794",$1.83,100.000.000 MX *,$19.201.605,"1,07%","-3,21%","17,61%"
319,API3,API3,"$182,673,152",$4.95,36.907.810 API3 *,$7.515.407,"-0,10%","-2,27%","-2,11%"
320,Everipedia,IQ,"$181,716,054",$0.01813,10.021.450.013 IQ *,$15.979.493,"0,59%","3,06%","-0,36%"
321,SafePal,SFP,"$181,027,690",$1.67,108.166.667 SFP *,$32.354.574,"0,56%","4,15%","-2,68%"
322,Morpheus.Network,MNW,"$177,480,583",$3.76,47.180.014 MNW *,$450.416,"-1,96%","0,78%","0,35%"
323,Sentinel,DVPN,"$177,828,594",$0.0329,5.404.858.266 DVPN *,$3.683.478,"1,08%","-3,79%","3,09%"
324,Render Token,RNDR,"$175,070,629",$1.05,166.389.663 RNDR *,$8.338.040,"0,29%","5,97%","10,40%"
325,Venus ETH,vETH,"$174,687,578",$85.88,2.033.994 vETH *,$?,"0,25%","-1,13%","5,80%"
326,Automata Network,ATA,"$173,860,006",$1.01,172.252.000 ATA *,$32.021.592,"-0,30%","1,28%","-2,73%"
327,Shiden Network,SDN,"$173,563,860",$3.11,55.866.680 SDN *,$5.109.363,"0,23%","-2,51%","-16,77%"
328,Standard Tokenization Protocol,STPT,"$172,889,030",$0.1311,1.318.893.221 STPT *,$31.176.732,"0,23%","-2,86%","-11,58%"
329,Utrust,UTK,"$173,040,376",$0.3845,450.000.000 UTK *,$11.476.438,"-0,44%","1,76%","-3,92%"
330,Sun (New),SUN,"$172,753,785",$0.03474,4.972.136.000 SUN *,$316.528.644,"0,25%","-1,26%","3,64%"
331,Powerledger,POWR,"$171,829,005",$0.375,458.185.997 POWR *,$23.667.032,"0,28%","-0,39%","3,45%"
332,Bloomzed Loyalty Club Ticket,BLCT,"$171,673,304",$4.52,38.000.000 BLCT *,$37.392,"-0,20%","3,87%","-9,64%"
333,Aavegotchi,GHST,"$169,714,880",$2.37,71.475.006 GHST *,$148.262.532,"-1,50%","-1,15%","29,00%"
334,Balancer,BAL,"$169,120,413",$24.36,6.943.831 BAL *,$42.470.761,"0,32%","-1,68%","13,48%"
335,Star Atlas DAO,POLIS,"$168,992,618",$7.82,21.600.000 POLIS *,$23.844.270,"-0,06%","-5,97%","15,74%"
336,Decentral Games,DG,"$167,230,765",$482.36,346.695 DG *,$8.754.017,"0,45%","1,24%","50,59%"
337,TABOO TOKEN,TABOO,"$164,915,497",$0.01686,9.782.678.080 TABOO *,$10.268.148,"1,22%","12,47%","52,66%"
338,AllianceBlock,ALBT,"$165,009,419",$0.7083,232.955.783 ALBT *,$4.047.294,"0,52%","-3,78%","-0,69%"
339,Strike,STRK,"$164,512,730",$54.69,3.008.314 STRK *,$11.117.062,"0,26%","1,47%","3,23%"
340,Rakon,RKN,"$162,554,985",$0.6693,242.857.143 RKN *,$1.315.545,"0,22%","-1,08%","-2,41%"
341,Boson Protocol,BOSON,"$160,003,830",$2.87,55.731.803 BOSON *,$18.778.213,"4,70%","-1,75%","85,29%"
342,dKargo,DKA,"$160,252,037",$0.1575,1.017.709.366 DKA *,$88.907.619,"0,56%","2,30%","8,30%"
343,Molecular Future,MOF,"$158,326,591",$1.82,87.224.000 MOF *,$11.260.204,"0,02%","0,23%","0,75%"
344,Hathor,HTR,"$155,674,625",$0.8609,180.833.876 HTR *,$3.716.330,"4,18%","2,71%","-2,44%"
345,Metadium,META,"$155,852,073",$0.1251,1.245.430.304 META *,$63.242.298,"2,05%","11,95%","13,55%"
346,ARPA Chain,ARPA,"$154,488,660",$0.1368,1.129.168.018 ARPA *,$222.743.456,"-2,05%","-9,12%","-4,48%"
347,BitShares,BTS,"$154,137,109",$0.05147,2.994.550.000 BTS *,$14.683.265,"1,49%","7,83%","9,06%"
348,Smooth Love Potion,SLP,"$153,516,730",$0.07157,2.145.135.756 SLP *,$591.775.377,"-0,70%","-2,72%","11,78%"
349,RSK Smart Bitcoin,RBTC,"$153,007,401","$60,390.69",2534 RBTC,$55.266,"-0,08%","-1,04%","0,41%"
350,Gemini Dollar,GUSD,"$152,090,395",$0.9962,152.667.171 GUSD *,$14.475.877,"-0,05%","0,00%","-0,03%"
351,Seedify.fund,SFUND,"$151,686,431",$7.86,19.298.962 SFUND *,$16.728.588,"2,91%","13,34%","63,58%"
352,Clover Finance,CLV,"$149,383,063",$1.16,128.777.778 CLV *,$39.085.512,"-1,19%","3,12%","-1,66%"
353,Ethernity Chain,ERN,"$149,190,026",$12.01,12.425.348 ERN *,$37.302.818,"0,05%","1,93%","9,12%"
354,Kin,KIN,"$147,038,808",$0.0000892,1.648.356.456.501 KIN *,$3.057.188,"0,20%","2,36%","-5,63%"
355,Travala.com,AVA,"$146,840,280",$2.82,51.990.487 AVA *,$12.286.751,"0,77%","3,19%","-5,42%"
356,DFI.Money,YFII,"$144,788,884","$3,751.40",38.596 YFII *,$19.715.863,"-0,08%","-0,89%","-5,87%"
357,Sport and Leisure,SNL,"$144,629,947",$0.2131,678.662.953 SNL *,$988.652,"0,21%","-1,10%","5,48%"
358,Ampleforth Governance Token,FORTH,"$143,826,380",$15.91,9.038.177 FORTH *,$21.650.090,"0,95%","6,15%","5,56%"
359,Humanscape,HUM,"$142,752,540",$0.2384,598.909.623 HUM *,$57.349.276,"1,08%","-0,35%","-8,56%"
360,USDX [Kava],USDX,"$142,249,941",$0.9846,144.469.454 USDX *,$2.274.263,"-0,26%","-0,94%","-0,22%"
361,IDEX,IDEX,"$141,012,846",$0.2382,591.877.593 IDEX *,$30.890.922,"-0,24%","-2,88%","-19,57%"
362,Handshake,HNS,"$140,819,981",$0.3237,434.995.285 HNS *,$1.741.948,"5,93%","21,58%","45,49%"
363,Strong,STRONG,"$140,136,968","$1,013.51",138.269 STRONG *,$15.998.917,"1,50%","-6,61%","16,89%"
364,PlatON,LAT,"$139,208,191",$0.1307,1.064.966.713 LAT *,$7.735.151,"0,91%","-3,66%","-10,16%"
365,CVCoin,CVN,"$138,595,894",$11.19,12.380.890 CVN *,$1.839.348,"-6,25%","7,86%","86,09%"
366,GlitzKoin,GTN,"$138,108,675",$0.558,247.499.428 GTN *,$641.373,"0,02%","0,23%","11,83%"
367,bZx Protocol,BZRX,"$137,572,118",$0.4077,337.396.119 BZRX *,$24.866.239,"0,16%","1,49%","24,91%"
368,Karura,KAR,"$137,557,003",$7.51,18.314.791 KAR *,$4.390.086,"-0,09%","2,49%","-10,55%"
369,MXC,MXC,"$136,738,125",$0.05175,2.642.132.373 MXC *,$13.170.507,"-0,55%","-7,79%","15,90%"
370,Litentry,LIT,"$135,531,492",$5.06,26.767.479 LIT *,$25.356.804,"0,69%","3,68%","5,90%"
371,Komodo,KMD,"$134,450,379",$1.05,128.415.627 KMD,$4.579.246,"-0,17%","-0,24%","0,15%"
372,Oxygen,OXY,"$134,437,860",$2.13,62.997.462 OXY *,$899.186,"-0,26%","-0,26%","-1,39%"
373,BarnBridge,BOND,"$133,814,350",$28.11,4.759.805 BOND *,$16.450.067,"0,30%","-1,90%","-3,77%"
374,Propy,PRO,"$133,641,114",$1.89,70.850.406 PRO *,$1.389.374,"-1,40%","-10,81%","-15,99%"
375,QuickSwap,QUICK,"$133,370,251",$407.74,327.100 QUICK *,$35.787.511,"0,58%","-3,64%","2,05%"
376,Hifi Finance,MFT,"$132,039,039",$0.0132,10.000.000.000 MFT *,$32.593.623,"-0,31%","5,90%","2,23%"
377,IRISnet,IRIS,"$131,444,954",$0.115,1.143.389.897 IRIS *,$15.348.765,"1,20%","4,93%","2,55%"
378,Hxro,HXRO,"$131,073,004",$0.4408,297.350.481 HXRO *,$225.610,"0,27%","-0,01%","-0,14%"
379,Terra Virtua Kolect,TVK,"$129,937,318",$0.2323,559.329.992 TVK *,$70.758.720,"0,56%","-10,12%","18,07%"
380,Flux,FLUX,"$130,036,049",$0.5965,218.007.155 FLUX,$3.633.489,"7,27%","23,66%","13,51%"
381,TROY,TROY,"$129,761,993",$0.01457,8.905.660.523 TROY *,$14.056.445,"-1,09%","-5,64%","-14,97%"
382,MCO,MCO,"$129,577,187",$8.20,15.793.831 MCO *,$1.488.812,"-0,25%","4,13%","-7,97%"
383,Ambire AdEx,ADX,"$128,770,698",$0.9675,133.090.041 ADX *,$89.217.830,"-2,85%","-14,90%","82,36%"
384,ApeSwap Finance,BANANA,"$128,243,035",$1.81,70.943.029 BANANA *,$6.006.345,"0,53%","-6,11%","-2,17%"
385,MATH,MATH,"$127,531,077",$1.12,114.356.164 MATH *,$1.479.263,"-0,51%","-1,33%","-6,64%"
386,Akropolis,AKRO,"$126,074,138",$0.03747,3.364.292.849 AKRO *,$32.253.991,"-0,21%","13,61%","8,37%"
387,Alpaca Finance,ALPACA,"$126,267,012",$0.8917,141.603.872 ALPACA *,$16.999.112,"0,80%","-2,72%","0,91%"
388,ZB Token,ZB,"$124,708,903",$0.2692,463.288.810 ZB *,$1.962.777,"-0,07%","0,30%","-2,53%"
389,Klever,KLV,"$122,783,348",$0.03614,3.397.615.776 KLV *,$2.219.977,"0,08%","-4,51%","-1,38%"
390,XSGD,XSGD,"$121,172,995",$0.7378,164.240.367 XSGD *,$902.975,"0,09%","-0,20%","0,12%"
391,Gitcoin,GTC,"$120,455,742",$8.48,14.198.202 GTC *,$14.924.004,"1,38%","-3,19%","-10,73%"
392,BSCPAD,BSCPAD,"$119,331,794",$1.65,72.344.249 BSCPAD *,$11.907.996,"-0,24%","-1,12%","5,65%"
393,Celo Dollar,CUSD,"$117,029,071",$1.00,116.491.019 CUSD *,$943.877,"0,00%","0,02%","-0,07%"
394,Tellor,TRB,"$115,756,310",$57.44,2.015.276 TRB,$42.727.511,"-0,02%","10,19%","5,22%"
395,ankrETH,aEth,"$116,203,339","$3,961.93",29.330 aEth *,$30.933,"0,73%","-0,82%","2,15%"
396,TokenPocket,TPT,"$116,094,161",$0.03349,3.466.457.400 TPT *,$4.197.423,"0,35%","-8,24%","22,18%"
397,Newscrypto,NWC,"$115,675,608",$0.7691,150.400.834 NWC *,$11.516.844,"-0,75%","-1,81%","-20,59%"
398,Chimpion,BNANA,"$115,308,632",$3.63,31.727.387 BNANA *,$1.094.497,"-0,16%","1,41%","7,73%"
399,Venus XVS,vXVS,"$115,406,121",$0.5142,224.433.925 vXVS *,$?,"0,27%","-0,60%","-16,60%"
400,CertiK,CTK,"$114,113,879",$1.97,57.815.128 CTK *,$20.593.672,"1,12%","6,61%","-1,00%"
401,Bella Protocol,BEL,"$113,807,567",$2.37,48.000.000 BEL *,$32.825.409,"-0,77%","7,83%","5,19%"
402,Vai,VAI,"$112,913,587",$0.8707,129.682.692 VAI *,$1.317.094,"-0,43%","-0,95%","-4,35%"
403,WHALE,WHALE,"$112,628,362",$16.71,6.738.825 WHALE *,$2.297.521,"0,64%","4,20%","-1,02%"
404,Shyft Network,SHFT,"$112,070,978",$0.7871,142.380.694 SHFT *,$832.290,"-0,16%","-1,41%","-0,71%"
405,Loom Network,LOOM,"$111,456,019",$0.1115,1.000.000.000 LOOM *,$53.635.232,"0,98%","5,16%","5,10%"
406,ZEON,ZEON,"$111,415,522",$0.003649,30.529.103.436 ZEON *,$584.226,"-4,24%","34,91%","40,26%"
407,Thunder Token,TT,"$111,149,011",$0.01359,8.180.337.300 TT *,$27.481.506,"0,60%","3,21%","1,76%"
408,ZIMBOCASH,ZASH,"$110,157,789",$0.06925,1.590.616.010 ZASH *,$14.591,"2,56%","-1,61%","-19,83%"
409,Tranchess,CHESS,"$110,141,602",$2.90,37.920.413 CHESS *,$22.296.312,"0,72%","-3,87%","-13,61%"
410,AstroSwap,ASTRO,"$109,440,976",$0.4687,233.481.331 ASTRO *,$2.647.809,"0,83%","1,22%","16,98%"
411,Sora,XOR,"$109,207,116",$269.28,405.548 XOR *,$3.132.251,"-1,38%","-2,23%","-0,43%"
412,Elitium,EUM,"$109,064,504",$3.91,27.898.118 EUM *,$605.725,"0,10%","0,24%","-5,11%"
413,Assemble Protocol,ASM,"$109,354,023",$0.1608,680.079.761 ASM *,$233.697.550,"-0,47%","-29,77%","103,23%"
414,NewYork Exchange,NYE,"$108,437,598",$15.29,7.090.060 NYE *,$2.014.321,"0,02%","0,41%","-5,26%"
415,SifChain,erowan,"$108,259,263",$0.3944,274.518.157 erowan *,$591.110,"1,00%","27,32%","56,41%"
416,TrustSwap,SWAP,"$107,147,230",$1.19,89.999.495 SWAP *,$4.230.127,"2,48%","1,03%","4,32%"
417,Firo,FIRO,"$106,404,465",$8.54,12.463.980 FIRO,$6.814.706,"1,30%","4,02%","-4,53%"
418,Streamr,DATA,"$105,692,343",$0.1378,767.121.867 DATA *,$17.294.171,"0,54%","-0,50%","-1,42%"
419,Haven Protocol,XHV,"$105,248,791",$7.12,14.774.609 XHV *,$2.453.031,"1,27%","-8,41%","-2,60%"
420,Tiger King,TKING,"$104,873,338",$0.0001741,602.500.000.000 TKING *,$3.254.224,"3,34%","-7,78%","87,71%"
421,Wrapped NCG (Nine Chronicles Gold),WNCG,"$104,720,359",$0.8742,119.794.315 WNCG *,$6.226.141,"1,06%","-5,75%","-9,87%"
422,Phantasma,SOUL,"$104,507,759",$1.02,102.908.489 SOUL *,$7.462.756,"1,27%","27,24%","63,68%"
423,RAMP,RAMP,"$104,440,337",$0.269,388.209.501 RAMP *,$8.880.214,"0,37%","0,72%","-5,76%"
424,sUSD,SUSD,"$104,356,923",$0.9942,104.964.405 SUSD *,$2.014.378,"-0,20%","-0,30%","-0,71%"
425,DIA,DIA,"$104,175,503",$1.88,55.481.823 DIA *,$21.726.896,"0,48%","7,66%","4,12%"
426,district0x,DNT,"$104,067,896",$0.1734,600.000.000 DNT *,$19.640.822,"1,99%","3,10%","-2,42%"
427,Glitch,GLCH,"$103,994,081",$1.31,79.282.952 GLCH *,$2.393.266,"1,11%","12,51%","40,58%"
428,STASIS EURO,EURS,"$102,864,698",$1.15,89.225.940 EURS *,$5.321.124,"-0,20%","-0,32%","-0,89%"
429,Rarible,RARI,"$102,399,721",$19.83,5.163.534 RARI *,$9.619.790,"0,28%","-0,12%","2,08%"
430,Solanium,SLIM,"$102,341,923",$2.05,50.000.000 SLIM *,$2.038.368,"-0,17%","0,39%","-13,27%"
431,APENFT,NFT,"$101,389,877",$0.00000507,19.999.800.000.000 NFT *,$226.886.701,"1,60%","1,26%","42,13%"
432,ABBC Coin,ABBC,"$101,286,604",$0.1181,857.987.871 ABBC *,$42.939.170,"-0,32%","-0,20%","-5,85%"
433,CumRocket,CUMMIES,"$101,293,071",$0.07671,1.320.428.309 CUMMIES *,$4.890.646,"4,42%","8,99%","70,60%"
434,Carry,CRE,"$100,921,342",$0.01166,8.654.564.011 CRE *,$15.259.813,"-0,69%","3,89%","1,74%"
435,Venus USDC,vUSDC,"$100,148,157",$0.02099,4.771.015.133 vUSDC *,$?,"0,01%","0,04%","0,20%"
